Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
장승현,63202,211,2,0.292,0.09,9.0,23.7,177,29,10,0,19,8,50
김호령,65653,154,4,0.292,0.108,10.4,28.6,130,21,2,0,16,6,44
정보근,68518,20,0,0.291,0.0,10.0,10.0,18,5,0,0,2,0,2
박찬호,64646,484,1,0.291,0.069,11.2,15.1,419,82,16,5,54,0,73
김민성,77564,426,8,0.291,0.128,9.9,17.1,360,50,22,0,42,8,73
박준영,66928,308,8,0.29,0.132,8.8,29.5,266,39,7,2,27,10,91
정주현,79150,214,3,0.289,0.099,11.2,15.0,181,32,7,1,24,0,32
안상현,66864,40,1,0.289,0.128,2.5,37.5,39,7,2,0,1,0,15
신본기,62556,201,1,0.289,0.064,10.4,21.9,171,32,8,0,21,4,44
전병우,65586,261,6,0.288,0.121,12.6,31.8,214,26,8,0,33,9,83
김태진,64984,416,1,0.288,0.068,5.5,15.4,383,87,13,5,23,0,64
노수광,63704,180,3,0.287,0.1,9.4,25.6,160,27,7,0,17,1,46
조용호,64868,512,0,0.287,0.037,13.9,16.8,428,86,14,1,71,3,86
김민식,62864,302,3,0.287,0.068,13.6,16.2,251,44,8,0,41,4,49
이재율,66968,17,0,0.286,0.133,0.0,17.6,15,1,2,0,0,2,3
박승규,69418,78,3,0.286,0.152,11.5,11.5,66,8,1,0,9,2,9
김수환,68346,44,2,0.286,0.195,4.5,38.6,41,5,2,0,2,0,17
강한울,64610,258,0,0.285,0.022,11.2,22.5,223,53,5,0,29,0,58
이지영,79456,255,0,0.284,0.03,7.5,6.7,230,57,5,1,19,1,17
정의윤,75151,178,7,0.284,0.139,6.2,20.8,165,29,2,0,11,0,37
김찬형,66917,161,2,0.284,0.098,9.9,19.9,132,21,7,0,16,4,32
김준태,62558,149,4,0.283,0.133,12.1,26.8,128,16,5,0,18,1,40
이상호,60566,68,0,0.283,0.031,1.5,14.7,65,18,2,0,1,0,10
김동엽,66838,203,4,0.282,0.114,4.9,20.7,185,31,9,0,10,4,42
김지찬,50458,332,1,0.281,0.031,8.1,9.0,292,73,6,0,27,0,30
정현,63450,146,0,0.281,0.061,11.0,15.8,115,19,5,1,16,7,23
한승택,63722,239,3,0.28,0.079,11.7,25.5,203,34,7,0,28,3,61
김상수,79402,492,3,0.278,0.063,10.4,10.4,426,80,16,1,51,3,51
김준완,63920,14,0,0.278,0.167,14.3,0.0,12,1,0,1,2,0,0
장운호,63700,338,0,0.276,0.035,10.7,22.8,285,57,10,0,36,7,77
김건형,51005,39,0,0.276,0.03,15.4,15.4,33,6,1,0,6,0,6
박경수,73113,276,8,0.275,0.136,12.0,27.5,236,27,8,0,33,3,76
권민석,68204,15,0,0.275,0.143,6.7,46.7,14,1,2,0,1,0,7
박정우,67609,61,0,0.274,0.021,16.4,13.1,48,8,1,0,10,2,8
배성근,64501,110,1,0.273,0.075,13.6,32.7,93,14,4,0,15,0,36
송민섭,64012,64,0,0.272,0.0,17.2,34.4,48,11,0,0,11,0,22
이창진,64560,294,3,0.27,0.076,12.2,18.7,250,40,8,1,36,1,55
이학주,69453,174,4,0.269,0.129,8.0,35.1,155,20,8,0,14,1,61
이천웅,61186,211,2,0.268,0.072,11.8,10.9,181,27,7,0,25,3,23
정진기,61869,202,6,0.268,0.13,5.0,19.8,192,29,7,0,10,0,40
문성주,68119,89,1,0.268,0.051,7.9,16.9,79,16,1,0,7,2,15
김재현,62332,51,0,0.267,0.152,5.9,23.5,46,3,7,0,3,0,12
정진호,61208,167,0,0.263,0.062,9.0,13.2,145,24,9,0,15,1,22
김기환,65462,149,3,0.262,0.143,5.4,30.2,140,17,7,2,8,0,45
김호재,64407,90,0,0.262,0.027,10.0,15.6,75,15,2,0,9,2,14
변상권,68305,171,0,0.262,0.082,5.3,23.4,159,29,5,4,9,0,40
최보성,68909,13,0,0.261,0.0,0.0,30.8,11,3,0,0,0,1,4
이우성,63260,100,0,0.26,0.059,13.0,17.0,85,12,5,0,13,0,17
허관회,69706,79,0,0.258,0.0,16.5,27.8,63,12,0,0,13,1,22
도태훈,66965,68,1,0.258,0.069,8.8,16.2,58,8,1,0,6,4,11
김재호,74206,252,1,0.257,0.052,11.5,13.5,212,35,8,0,29,2,34
오정환,68614,18,0,0.257,0.059,5.6,50.0,17,3,1,0,1,0,9
김태훈,65040,91,1,0.257,0.103,2.2,20.9,87,14,4,1,2,1,19
김용의,78217,41,0,0.257,0.074,22.0,12.2,27,2,2,0,9,0,5
박세혁,62244,271,0,0.257,0.05,8.1,15.9,238,40,12,0,22,5,43
나승엽,51551,125,2,0.255,0.071,9.6,26.4,112,19,2,0,12,0,33
장규현,51762,12,0,0.254,0.083,0.0,33.3,12,2,1,0,0,0,4
이주형,51302,11,1,0.254,0.3,9.1,63.6,10,0,0,0,1,0,7
나지완,78629,102,0,0.254,0.012,13.7,28.4,81,12,1,0,14,6,29
민병헌,76249,49,0,0.253,0.071,12.2,22.4,42,5,3,0,6,0,11
강민국,64906,50,0,0.252,0.044,6.0,12.0,45,9,2,0,3,0,6
백용환,78643,102,4,0.251,0.151,10.8,25.5,86,7,1,0,11,3,26
김주현,66749,17,0,0.25,0.0,5.9,35.3,16,4,0,0,1,0,6
안권수,50202,47,0,0.249,0.048,6.4,6.4,42,9,0,1,3,0,3
보어,51144,118,3,0.248,0.109,9.3,25.4,101,12,2,0,11,3,30
지석훈,73306,43,0,0.242,0.029,14.0,27.9,34,4,1,0,6,2,12
신준우,50312,51,0,0.241,0.071,7.8,39.2,42,4,3,0,4,3,20
최정용,65464,65,0,0.238,0.019,13.8,24.6,52,9,1,0,9,0,16
오선진,78756,46,0,0.235,0.0,6.5,17.4,42,9,0,0,3,1,8
장지승,51706,72,1,0.235,0.066,9.7,33.3,61,9,1,0,7,1,24
이원재,62025,68,0,0.228,0.031,1.5,16.2,64,13,2,0,1,1,11
예진원,68330,132,1,0.227,0.096,9.1,21.2,114,10,6,1,12,2,28
문찬종,50365,17,0,0.226,0.0,17.6,23.5,14,2,0,0,3,0,4
김휘집,51344,86,1,0.225,0.059,14.0,25.6,68,7,1,0,12,2,22
이호연,68504,11,0,0.225,0.0,9.1,9.1,9,2,0,0,1,0,1
김병휘,50304,11,0,0.225,0.0,9.1,18.2,10,2,0,0,1,0,2
안익훈,65115,16,0,0.225,0.071,0.0,12.5,14,1,1,0,0,2,2
강경학,61700,39,0,0.221,0.0,12.8,33.3,33,5,0,0,5,1,13
박주홍,50357,52,0,0.22,0.047,17.3,34.6,43,3,2,0,9,0,18
박정현,50709,120,0,0.22,0.037,7.5,26.7,107,17,4,0,9,0,32
황윤호,62908,19,0,0.215,0.0,5.3,15.8,17,3,0,0,1,1,3
강상원,66710,49,0,0.214,0.0,18.4,22.4,37,4,0,0,9,1,11
허정협,65399,52,0,0.213,0.0,13.5,19.2,45,7,0,0,7,0,10
오재원,77248,80,0,0.211,0.041,7.5,22.5,73,10,3,0,6,0,18
강로한,65515,35,2,0.21,0.182,5.7,51.4,33,2,0,0,2,0,18
이원석,68700,130,1,0.208,0.053,6.2,33.1,114,17,1,1,8,2,43
이동훈,66702,62,0,0.206,0.019,4.8,19.4,53,9,1,0,3,2,12
박민,50657,38,0,0.206,0.029,5.3,26.3,35,5,1,0,2,1,10
임종찬,50704,146,1,0.205,0.061,8.2,33.6,131,14,5,0,12,1,49
