Player,pcode,Team,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
김연주,54368,키움,3.0,9,5,0,4,1,3,6.2,9.0,12.0,-0.02
배재준,63145,LG,15.0,45,28,2,14,4,21,5.73,12.6,8.4,-0.02
김동주,51230,두산,11.0,33,10,3,6,0,14,5.84,11.45,4.91,-0.03
원종해,54906,NC,11.0,33,14,1,6,6,10,5.84,8.18,4.91,-0.03
쿄야마,56548,롯데,10.0,30,15,2,11,0,16,5.9,14.4,9.9,-0.03
오석주,67116,키움,22.0,66,30,2,20,3,19,5.79,7.77,8.18,-0.04
정현우,55313,키움,5.0,15,5,1,3,0,3,6.4,5.4,5.4,-0.04
강재민,50705,한화,5.0,15,9,0,6,2,4,6.4,7.2,10.8,-0.04
김건국,76225,KIA,5.0,15,6,1,5,0,6,6.4,10.8,9.0,-0.04
함덕주,63248,LG,23.0,69,33,4,10,3,16,5.77,6.26,3.91,-0.04
이로운,53892,SSG,29.0,87,37,6,22,0,34,5.82,10.55,6.83,-0.06
박정수,65639,두산,7.0,21,7,1,5,0,3,6.34,3.86,6.43,-0.06
하준영,68639,NC,5.0,15,5,1,7,0,8,6.8,14.4,12.6,-0.07
백승건,69839,SSG,12.0,36,15,1,14,0,10,6.12,7.5,10.5,-0.07
장지훈,51895,SSG,16.0,48,21,3,6,2,9,6.01,5.06,3.38,-0.07
김영규,68900,NC,16.0,48,26,2,19,1,20,6.08,11.25,10.69,-0.08
장유호,69645,한화,11.0,33,10,2,7,1,8,6.29,6.55,5.73,-0.08
김윤하,54319,키움,10.0,30,14,3,4,0,10,6.3,9.0,3.6,-0.08
조영건,69360,키움,19.0,57,31,4,7,4,16,5.99,7.58,3.32,-0.08
육선엽,54404,삼성,3.0,9,2,1,3,1,5,8.2,15.0,9.0,-0.09
최지민,52639,KIA,25.0,75,50,6,11,4,27,5.96,9.72,3.96,-0.09
백승현,65109,LG,6.0,18,10,2,5,0,9,7.03,13.5,7.5,-0.09
타카다,56212,두산,12.0,36,18,1,11,4,10,6.37,7.5,8.25,-0.1
이상영,69168,LG,4.0,12,11,1,3,0,1,8.2,2.25,6.75,-0.11
윤산흠,69213,한화,16.0,48,21,3,13,1,16,6.26,9.0,7.31,-0.11
최원준,67263,두산,3.0,9,2,1,2,0,1,8.87,3.0,6.0,-0.11
신민혁,68902,NC,34.0,102,32,6,13,3,17,5.91,4.5,3.44,-0.11
송명기,69962,NC,7.0,21,9,2,7,0,10,7.06,12.86,9.0,-0.11
김태경,50992,NC,34.0,102,39,6,21,3,29,5.91,7.68,5.56,-0.11
박시후,50812,SSG,26.0,78,37,6,15,4,30,6.08,10.38,5.19,-0.13
박준영,52731,한화,28.0,84,33,4,26,4,31,6.06,9.96,8.36,-0.13
이기순,52868,SSG,10.0,30,14,0,16,3,10,6.9,9.0,14.4,-0.14
이용찬,77211,두산,22.0,66,25,7,8,2,26,6.34,10.64,3.27,-0.17
문용익,67419,KT,7.0,21,14,2,7,0,7,7.91,9.0,9.0,-0.18
정세영,55377,키움,14.0,42,24,3,6,1,4,6.91,2.57,3.86,-0.2
김도빈,54705,한화,4.0,12,5,0,12,2,7,10.2,15.75,27.0,-0.2
한차현,51058,KT,6.0,18,15,3,2,0,6,8.7,9.0,3.0,-0.21
김서준,55359,키움,15.0,45,14,4,12,1,18,6.87,10.8,7.2,-0.21
김종수,63765,한화,11.0,33,23,3,11,2,16,7.38,13.09,9.0,-0.21
강건우,56769,한화,10.0,30,25,2,12,1,11,7.5,9.9,10.8,-0.21
정다훈,56345,키움,11.0,33,15,2,9,1,5,7.38,4.09,7.36,-0.21
이재희,51460,삼성,6.0,18,7,1,9,4,9,8.87,13.5,13.5,-0.22
최용준,50650,SSG,8.0,24,12,2,8,2,8,8.2,9.0,9.0,-0.23
김도현,52844,SSG,5.0,15,7,1,10,0,5,9.8,9.0,18.0,-0.23
최이준,68036,롯데,8.0,24,12,2,11,0,9,8.32,10.12,12.38,-0.24
성동현,68159,LG,4.0,12,10,2,4,1,5,10.95,11.25,9.0,-0.24
김태형,55610,KIA,46.0,138,61,9,22,3,29,6.11,5.67,4.3,-0.25
지현,56633,KIA,4.0,12,6,2,3,0,1,11.45,2.25,6.75,-0.26
김정운,53029,KT,5.0,15,8,2,5,1,4,10.4,7.2,9.0,-0.27
박준영,56709,한화,37.0,111,33,8,18,6,31,6.28,7.54,4.38,-0.27
원종혁,54702,한화,4.0,12,14,1,8,1,3,11.7,6.75,18.0,-0.27
김재웅,67391,키움,20.0,60,27,5,9,0,9,6.9,4.05,4.05,-0.28
백정현,77446,삼성,19.0,57,22,6,8,0,15,6.99,7.11,3.79,-0.29
전준표,54362,키움,7.0,21,12,1,14,3,8,10.06,10.29,18.0,-0.34
김진호,67954,NC,25.0,75,27,4,31,0,26,6.92,9.36,11.16,-0.36
류진욱,65949,NC,21.0,63,37,7,10,4,24,7.25,10.29,4.29,-0.38
긴지로,56800,SSG,16.0,48,18,5,14,1,18,7.83,10.12,7.88,-0.39
이승현,51454,삼성,11.0,33,20,3,12,1,8,8.84,6.55,9.82,-0.39
노경은,73211,SSG,32.0,96,40,9,14,2,26,6.73,7.31,3.94,-0.39
목지훈,53973,NC,7.0,21,12,3,8,1,6,10.91,7.71,10.29,-0.41
전영준,52809,SSG,22.0,66,31,7,20,4,36,7.34,14.73,8.18,-0.42
미야지,56415,삼성,23.0,69,27,5,26,6,30,7.59,11.74,10.17,-0.5
김서현,53754,한화,8.0,24,10,1,18,4,7,11.32,7.88,20.25,-0.51
이의리,51648,KIA,33.0,99,41,8,33,1,39,7.08,10.64,9.0,-0.53
배찬승,55455,삼성,23.0,69,27,5,29,4,25,8.16,9.78,11.35,-0.65
