Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
이상동,69054,43.3,130,31,4,9,2,34,3.59,7.06,1.87,0.82
류진욱,65949,64.7,194,50,6,27,6,57,4.17,7.93,3.76,0.81
조상우,63342,59.3,178,64,5,27,5,54,4.09,8.19,4.1,0.8
김진호,67954,72.3,217,51,5,44,9,70,4.36,8.71,5.47,0.76
최민준,68856,66.0,198,72,6,24,3,44,4.28,6.0,3.27,0.75
김종수,63765,64.0,192,57,5,36,4,59,4.25,8.3,5.06,0.75
레예스,54443,50.3,151,52,5,12,3,35,3.99,6.26,2.15,0.73
원종현,76118,54.0,162,68,5,18,3,40,4.09,6.67,3.0,0.73
이호성,53455,54.7,164,52,7,29,2,67,4.11,11.03,4.77,0.72
이승현,51454,100.7,302,121,10,46,9,74,4.66,6.62,4.11,0.72
김민수,65048,51.3,154,61,5,14,1,33,4.06,5.79,2.45,0.71
배찬승,55455,47.3,142,47,3,33,2,54,3.96,10.27,6.27,0.71
반즈,52528,45.7,137,47,4,17,2,38,3.92,7.49,3.35,0.7
조동욱,54768,60.0,180,77,4,29,4,43,4.28,6.45,4.35,0.68
전영준,52809,51.7,155,48,5,26,5,55,4.13,9.58,4.53,0.67
정현수,54537,47.0,141,34,4,25,2,47,4.03,9.0,4.79,0.67
최지강,52206,32.3,97,41,3,13,2,38,3.45,10.58,3.62,0.67
김영규,68900,43.7,131,38,3,18,3,35,3.93,7.21,3.71,0.66
최민석,55268,76.7,230,72,7,34,5,53,4.53,6.22,3.99,0.66
박신지,68249,60.0,180,55,3,29,5,36,4.35,5.4,4.35,0.64
박진,69594,67.7,203,75,9,22,1,50,4.47,6.65,2.93,0.63
손주환,54904,51.3,154,53,5,19,1,37,4.19,6.49,3.33,0.63
황준서,54729,55.3,166,54,7,26,2,57,4.3,9.27,4.23,0.62
한두솔,68092,35.7,107,46,1,19,1,27,3.73,6.81,4.79,0.62
웰스,55348,20.0,60,18,0,6,1,16,2.65,7.2,2.7,0.59
김기훈,69620,27.7,83,25,2,10,1,27,3.38,8.78,3.25,0.59
신민혁,68902,132.3,397,148,23,26,6,84,4.92,5.71,1.77,0.57
윤석원,52395,36.7,110,41,3,12,2,27,3.94,6.63,2.95,0.56
장현식,63950,49.7,149,65,4,21,5,38,4.29,6.89,3.81,0.56
이지강,69108,46.0,138,50,4,24,1,39,4.27,7.63,4.7,0.53
주권,65060,40.7,122,48,3,13,0,19,4.18,4.2,2.88,0.51
오석주,67116,56.0,168,51,4,29,7,44,4.49,7.07,4.66,0.51
윤영철,53613,49.3,148,52,4,30,1,43,4.4,7.84,5.47,0.5
황동하,52641,35.3,106,38,4,10,3,31,4.02,7.9,2.55,0.5
구창모,65933,14.3,43,14,1,3,0,18,2.22,11.3,1.88,0.49
배제성,65516,27.0,81,38,2,11,0,23,3.68,7.67,3.67,0.49
배재환,64995,59.3,178,48,3,37,11,51,4.57,7.74,5.61,0.49
이정용,69134,34.0,102,32,3,12,2,26,4.05,6.88,3.18,0.47
함덕주,63248,27.0,81,14,1,18,0,26,3.76,8.67,6.0,0.46
박정수,65639,26.3,79,31,1,8,4,15,3.92,5.13,2.73,0.4
김택형,65343,22.0,66,19,0,10,3,14,3.7,5.73,4.09,0.39
